EXPOCODE,Ship_Name,Year_UTC,Month_UTC,Day_UTC,Time_UTC,Station_ID,Latitude,Longitude,Depth,CTDTEMP_ITS90,CTDTEMP_flag,Salinity_PSS78,Salinity_flag,DIC,DIC_flag,TA,TA_flag
,,,,,,,decimal degrees,decimal degres,m,deg_C,,,,umol/kg,,umol/kg,
31EB19830318,ELLEN B. SCRIPPS,1983,3,19,0:00:00,090.0 062.0,32.3513,-120.0954,10,15.36,2,-999,9,1989.4,2,-999,9
31EB19830318,ELLEN B. SCRIPPS,1983,3,19,0:00:00,090.0 062.0,32.3513,-120.0954,10,-999,9,-999,9,1989.8,2,-999,9
31EB19830318,ELLEN B. SCRIPPS,1983,3,19,0:00:00,090.0 062.0,32.3513,-120.0954,10,-999,9,-999,9,1989.3,2,-999,9
31EB19830318,ELLEN B. SCRIPPS,1983,3,19,0:00:00,090.0 062.0,32.3513,-120.0954,10,-999,9,-999,9,1988.6,2,-999,9
32WC19830406,WESTWIND,1983,4,6,0:00:00,090.0 060.0,32.4179,-119.9593,10,15.06,2,33.282,2,1991.5,2,-999,9
32WC19830406,WESTWIND,1983,4,6,0:00:00,090.0 060.0,32.4179,-119.9593,10,-999,9,33.281,2,1988.5,2,-999,9
32WC19830406,WESTWIND,1983,4,6,0:00:00,090.0 065.0,32.2513,-120.2993,10,15.23,2,33.395,2,1992.9,2,-999,9
32WC19830406,WESTWIND,1983,4,6,0:00:00,090.0 065.0,32.2513,-120.2993,10,-999,9,33.398,2,1991.8,2,-999,9
31EB19830614,ELLEN B. SCRIPPS,1983,6,15,0:00:00,090.0 065.0,32.2513,-120.2993,10,-999,9,33.232,2,1984.7,2,-999,9
31EB19830614,ELLEN B. SCRIPPS,1983,6,15,0:00:00,090.0 065.0,32.2513,-120.2993,10,-999,9,33.235,2,1983.8,2,-999,9
31EB19830817,ELLEN B. SCRIPPS,1983,8,19,0:00:00,090.0 060.0,32.4179,-119.9593,10,19.68,2,33.419,2,1978.9,2,-999,9
31EB19830817,ELLEN B. SCRIPPS,1983,8,19,0:00:00,090.0 060.0,32.4179,-119.9593,10,-999,9,-999,9,1979,2,-999,9
31EB19830817,ELLEN B. SCRIPPS,1983,8,19,0:00:00,090.0 065.0,32.2513,-120.2993,10,19.33,2,33.455,2,1983.2,2,-999,9
31EB19830817,ELLEN B. SCRIPPS,1983,8,19,0:00:00,090.0 065.0,32.2513,-120.2993,10,-999,9,-999,9,1982.9,2,-999,9
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,0:00:00,090.0 060.0,32.4179,-119.9593,10,20.96,2,33.467,2,1974.6,2,-999,9
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,0:00:00,090.0 060.0,32.4179,-119.9593,10,-999,9,-999,9,1974.5,2,-999,9
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,0:00:00,090.0 060.0,32.4179,-119.9593,10,-999,9,33.466,2,1975.9,2,-999,9
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,0:00:00,090.0 060.0,32.4179,-119.9593,10,-999,9,-999,9,1974.7,2,-999,9
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,0:00:00,090.0 065.0,32.2513,-120.2993,10,20.72,2,33.497,2,1983.6,2,-999,9
31EB19830913,ELLEN B. SCRIPPS,1983,9,14,0:00:00,090.0 065.0,32.2513,-120.2993,10,-999,9,-999,9,1983.6,2,-999,9
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,0:00:00,090.0 065.0,32.2513,-120.2993,10,20.29,2,33.539,2,1975.7,2,-999,9
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,0:00:00,090.0 065.0,32.2513,-120.2993,10,-999,9,-999,9,1975.7,2,-999,9
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,0:00:00,090.0 065.0,32.2513,-120.2993,10,-999,9,33.538,2,1973.9,2,-999,9
31EB19831010,ELLEN B. SCRIPPS,1983,10,12,0:00:00,090.0 065.0,32.2513,-120.2993,10,-999,9,-999,9,1973.6,2,-999,9
